Gerencia, Desarrollo, Talento humano, Contabilidad, Diseño, Aseo
6800, 7500, 1800, 1800, 3300, 1100
4850, 7000, 1800, 1850, 3100, 1100
4850, 7000, 1800, 1850, 3100, 1100 
4800, 7500, 1800, 1800, 3266, 1133
7853, 7889, 1896, 1856, 2155, 1157
4857, 7722, 1820, 1850, 2100, 1100
4800, 9500, 1800, 1800, 2200, 1100
4850, 9000, 1800, 1850, 2100, 1100
4850, 8000, 1800, 1850, 2100, 1100
4800, 12500, 1800, 1800, 2200, 1100
4850, 12000, 1800, 1850, 2100, 1100
4850, 12000, 1800, 1850, 2100, 1100
4800, 12500, 1800, 1800, 2200, 1100
4850, 2000, 1800, 1850, 2100, 1100
4850, 2000, 1800, 1850, 3200, 1100
4800, 3500, 1800, 1800, 2200, 1100
6850, 3000, 1800, 1850, 2100, 1100
4850, 4000, 1400, 1650, 4100, 1100
4700, 7500, 1300, 1500, 2200, 2100
4650, 7000, 1900, 1850, 2100, 1100
4850, 7000, 1800, 1850, 2100, 1100
4800, 7500, 1800, 1800, 2200, 1100
4850, 7000, 1800, 1850, 2100, 1100
4850, 7000, 1800, 1850, 2100, 3100
4800, 7500, 1800, 1800, 2200, 1100
4850, 7000, 1800, 1850, 3500, 1100
4850, 7000, 1800, 1850, 2100, 1800
4800, 7500, 1800, 1800, 2200, 1100
4850, 7000, 1800, 1850, 2100, 1200
3850, 7000, 1800, 1850, 2100, 1100
4800, 7500, 1800, 1800, 6400, 1100
5850, 7000, 1800, 1850, 2100, 1100
4850, 7000, 1800, 1850, 2100, 1100
4800, 7500, 1800, 1800, 2200, 1100
4850, 7000, 1800, 1850, 2100, 1100
14850, 7000, 1800, 1850, 2100, 1100
4800, 7500, 1800, 1800, 3900, 1100
9850, 7000, 1800, 1850, 2100, 1100
4850, 7000, 1800, 1850, 2100, 1100
4800, 7500, 1800, 1800, 2200, 3100
4850, 7000, 1800, 1850, 2100, 1100
4850, 7000, 1800, 1850, 2100, 1100
4800, 7500, 1800, 1800, 2200, 6100
4850, 7000, 1800, 1850, 2100, 1100
4850, 7000, 1800, 1850, 2100, 1100
4800, 7500, 1800, 1800, 2200, 1100
4850, 7000, 1800, 1850, 2100, 1100
9850, 7000, 1800, 1850, 2100, 1100
4800, 7500, 1800, 1800, 2200, 1100
4850, 7000, 1800, 1850, 2100, 1100
4850, 7000, 1800, 1850, 2100, 5100
4800, 7500, 1800, 1800, 2200, 1100
4850, 7000, 1800, 1850, 2100, 1100
4850, 7000, 1800, 1850, 3700, 1100
4800, 7500, 1800, 1800, 2200, 1100
4850, 7000, 1800, 1850, 2100, 1100
4850, 7000, 1800, 1850, 2100, 1100
8800, 7500, 1800, 1800, 2200, 1100
4850, 7000, 1800, 1850, 2100, 7100
6850, 7000, 1800, 1850, 2100, 1100
4800, 7500, 1800, 1800, 2200, 1100
4850, 7000, 1800, 1850, 2100, 1250
4850, 7000, 1800, 1850, 2100, 1100
4800, 7500, 1800, 1800, 3600, 1100
4850, 7000, 1700, 1750, 2100, 1100
4850, 7000, 1500, 1550, 2100, 1100
4800, 7500, 1900, 1900, 2200, 6100
4850, 7000, 2300, 2350, 2100, 1100
4850, 7000, 2800, 2850, 2100, 1100
4800, 7500, 1800, 1800, 2200, 1100
4850, 7000, 1800, 1850, 2100, 1100
7850, 7000, 1800, 1850, 2100, 1100
4800, 7500, 1800, 1800, 2200, 1100
3850, 7000, 1800, 1850, 2100, 1100
4850, 7000, 1800, 1850, 2100, 1100
4800, 7500, 1800, 1800, 2200, 1100
4850, 7000, 1800, 1850, 2100, 3100
4850, 7000, 1800, 1850, 2100, 1100
4800, 7500, 1800, 1800, 2200, 1100
4850, 7000, 1800, 1850, 2100, 1100
4850, 7000, 3800, 3850, 2300, 3300
4800, 7500, 3800, 3800, 2200, 3300
4850, 7000, 3800, 3850, 2800, 8800
4850, 7000, 8800, 8850, 2800, 8200
4300, 7500, 2800, 2800, 2200, 2200
4850, 7000, 2800, 2850, 2200, 2200
4750, 0, 2800, 2850, 2200, 2100
4850, 7000, 4800, 4850, 2400, 4400
0, 7000, 4850, 4850, 2400, 4400
4800, 7500, 3800, 6, 2200, 3300
5850, 7000, 0, 1850, 3100, 1100
6800, 7500, 0, 1800, 2200, 1100
4850, 7000, 1800, 1850, 3100, 1100
